t;x;F
0.522000;0.023951;8.550460
0.523000;0.024105;8.547895
0.524000;0.024259;8.545331
0.525000;0.024414;8.542768
0.526000;0.024569;8.540206
0.527000;0.024725;8.537644
0.528000;0.024882;8.535083
0.529000;0.025040;8.532523
0.530000;0.025198;8.529964
0.531000;0.025357;8.527405
0.532000;0.025516;8.524847
0.533000;0.025676;8.522290
0.534000;0.025837;8.519734
0.535000;0.025998;8.517178
0.536000;0.026161;8.514623
0.537000;0.026323;8.512069
0.538000;0.026487;8.509516
0.539000;0.026651;8.506964
0.540000;0.026816;8.504412
0.541000;0.026982;8.501861
0.542000;0.027148;8.499311
0.543000;0.027315;8.496762
0.544000;0.027482;8.494213
0.545000;0.027651;8.491665
0.546000;0.027820;8.489118
0.547000;0.027989;8.486572
0.548000;0.028160;8.484026
0.549000;0.028331;8.481481
0.550000;0.028503;8.478937
0.551000;0.028675;8.476394
0.552000;0.028848;8.473851
0.553000;0.029022;8.471309
0.554000;0.029197;8.468768
0.555000;0.029372;8.466228
0.556000;0.029548;8.463689
0.557000;0.029724;8.461150
0.558000;0.029902;8.458612
0.559000;0.030080;8.456075
0.560000;0.030259;8.453538
0.561000;0.030438;8.451003
0.562000;0.030618;8.448468
0.563000;0.030799;8.445934
0.564000;0.030981;8.443400
0.565000;0.031163;8.440868
0.566000;0.031346;8.438336
0.567000;0.031530;8.435805
0.568000;0.031715;8.433274
0.569000;0.031900;8.430745
0.570000;0.032086;8.428216
0.571000;0.032273;8.425688
0.572000;0.032460;8.423160
0.573000;0.032648;8.420634
0.574000;0.032837;8.418108
0.575000;0.033027;8.415583
0.576000;0.033217;8.413059
0.577000;0.033408;8.410535
0.578000;0.033600;8.408012
0.579000;0.033792;8.405490
0.580000;0.033985;8.402969
0.581000;0.034179;8.400448
0.582000;0.034374;8.397929
0.583000;0.034570;8.395410
0.584000;0.034766;8.392891
0.585000;0.034963;8.390374
0.586000;0.035161;8.387857
0.587000;0.035359;8.385341
0.588000;0.035558;8.382826
0.589000;0.035758;8.380312
0.590000;0.035959;8.377798
0.591000;0.036160;8.375285
0.592000;0.036362;8.372773
0.593000;0.036565;8.370261
0.594000;0.036769;8.367751
0.595000;0.036974;8.365241
0.596000;0.037179;8.362731
0.597000;0.037385;8.360223
0.598000;0.037591;8.357715
0.599000;0.037799;8.355208
0.600000;0.038007;8.352702
0.601000;0.038216;8.350197
0.602000;0.038426;8.347692
0.603000;0.038637;8.345188
0.604000;0.038848;8.342685
0.605000;0.039060;8.340182
0.606000;0.039273;8.337681
0.607000;0.039487;8.335180
0.608000;0.039701;8.332680
0.609000;0.039916;8.330180
0.610000;0.040132;8.327682
0.611000;0.040349;8.325184
0.612000;0.040566;8.322686
0.613000;0.040785;8.320190
0.614000;0.041004;8.317694
0.615000;0.041224;8.315199
0.616000;0.041444;8.312705
0.617000;0.041666;8.310212
0.618000;0.041888;8.307719
0.619000;0.042111;8.305227
0.620000;0.042335;8.302736
0.621000;0.042559;8.300246
0.622000;0.042785;8.297756
0.623000;0.043011;8.295267
0.624000;0.043238;8.292779
0.625000;0.043466;8.290291
0.626000;0.043694;8.287804
0.627000;0.043924;8.285318
0.628000;0.044154;8.282833
0.629000;0.044385;8.280349
0.630000;0.044616;8.277865
0.631000;0.044849;8.275382
0.632000;0.045082;8.272900
0.633000;0.045317;8.270418
0.634000;0.045552;8.267938
0.635000;0.045787;8.265458
0.636000;0.046024;8.262978
0.637000;0.046262;8.260500
0.638000;0.046500;8.258022
0.639000;0.046739;8.255545
0.640000;0.046979;8.253069
0.641000;0.047219;8.250593
0.642000;0.047461;8.248118
0.643000;0.047703;8.245644
0.644000;0.047946;8.243171
0.645000;0.048190;8.240698
0.646000;0.048435;8.238227
0.647000;0.048681;8.235755
0.648000;0.048927;8.233285
0.649000;0.049175;8.230815
0.650000;0.049423;8.228347
0.651000;0.049672;8.225878
0.652000;0.049921;8.223411
0.653000;0.050172;8.220944
0.654000;0.050423;8.218478
0.655000;0.050676;8.216013
0.656000;0.050929;8.213549
0.657000;0.051183;8.211085
0.658000;0.051438;8.208622
0.659000;0.051693;8.206160
0.660000;0.051950;8.203699
0.661000;0.052207;8.201238
0.662000;0.052465;8.198778
0.663000;0.052724;8.196319
0.664000;0.052984;8.193860
0.665000;0.053245;8.191402
0.666000;0.053506;8.188945
0.667000;0.053769;8.186489
0.668000;0.054032;8.184033
0.669000;0.054296;8.181578
0.670000;0.054561;8.179124
0.671000;0.054827;8.176671
0.672000;0.055094;8.174218
0.673000;0.055361;8.171766
0.674000;0.055630;8.169315
0.675000;0.055899;8.166865
0.676000;0.056169;8.164415
0.677000;0.056440;8.161966
0.678000;0.056712;8.159518
0.679000;0.056985;8.157070
0.680000;0.057259;8.154624
0.681000;0.057533;8.152178
0.682000;0.057808;8.149732
0.683000;0.058085;8.147288
0.684000;0.058362;8.144844
0.685000;0.058640;8.142401
0.686000;0.058919;8.139959
0.687000;0.059198;8.137517
0.688000;0.059479;8.135076
0.689000;0.059760;8.132636
0.690000;0.060043;8.130196
0.691000;0.060326;8.127758
0.692000;0.060610;8.125320
0.693000;0.060895;8.122883
0.694000;0.061181;8.120446
0.695000;0.061468;8.118010
0.696000;0.061756;8.115575
0.697000;0.062044;8.113141
0.698000;0.062334;8.110707
0.699000;0.062624;8.108275
0.700000;0.062915;8.105842
0.701000;0.063208;8.103411
0.702000;0.063501;8.100980
0.703000;0.063795;8.098550
0.704000;0.064090;8.096121
0.705000;0.064385;8.093693
0.706000;0.064682;8.091265
0.707000;0.064980;8.088838
